Type;Metal;CN1;CN2;CN3;CN4;CN5;CN6;CN7;CN8;G;R;S;L-1;A-2;L-2;TP-3;TPY-3;TS-3;SP-4;SS-4;T-4;vTBPY-4;PP-5;SPY-5;TBPY-5;HP-6;OC-6;PPY-6;TPR-6;COC-7;CTPR-7;HP-7;HPY-7;PBPY-7;BTPR-8;CU-8;ETBPY-8;HBPY-8;HPY-8;OP-8;SAPR-8;TDD-8;[];[2];[3];[4];[2,2];[5];[2,3];[6];[3,3];[2,2,2];[2,4];[7];[2,5];[3, 4];[2,2,3];[8];[4,4];[2,2,2,2];[2,6];[2,3,3];[3,5];[2,2,4]
b;Th;0;0;0;0.159090909;0.022727273;0.056818182;0.136363636;0.625;0.715909091;0.125;0.159090909;0;0;0;0;0;0;0;0;0.159090909;0;0;0;0.022727273;0;0.056818182;0;0;0.045454545;0.011363636;0;0;0.079545455;0.022727273;0.022727273;0;0;0;0;0.215909091;0.363636364;0.477272727;0;0.011363636;0;0.079545455;0.011363636;0.034090909;0;0.011363636;0.011363636;0.011363636;0;0;0;0;0.011363636;0.102272727;0.215909091;0;0;0;0.022727273
r;Ti;0;0;0.00041511;0.163138232;0.234537152;0.558322956;0.03403902;0.00954753;0.709007887;0.141137401;0.149854711;0;0;0;0;0;0.00041511;0;0.00083022;0.156496472;0.00581154;0;0.106268161;0.128268991;0;0.552926526;0;0.00539643;0.00166044;0.00166044;0;0;0.03071814;0;0;0;0;0;0;0.00124533;0.0083022;0.169364882;0.199252802;0.150684932;0.132004981;0.129929431;0.055624741;0.02822748;0.02241594;0.00954753;0.04400166;0.04732254;0;0.00249066;0.00290577;0;0;0.00373599;0.00249066;0;0;0;0
g;Tl;0.087227414;0.299065421;0.024922118;0.277258567;0.168224299;0.109034268;0.00623053;0.028037383;0.975077882;0.003115265;0.021806854;0.087227414;0.271028037;0.028037383;0;0;0.024922118;0;0.099688474;0.146417445;0.031152648;0;0.096573209;0.07165109;0.015576324;0.074766355;0;0.018691589;0;0;0;0;0.00623053;0;0;0;0.021806854;0;0;0.003115265;0.003115265;0.395638629;0.417445483;0.015576324;0.08411215;0.00623053;0;0;0.043613707;0.012461059;0.003115265;0.015576324;0;0;0;0;0.003115265;0.003115265;0;0;0;0;0
b;Tm;0;0;0;0;0.03125;0.109375;0.078125;0.78125;0.421875;0.25;0.328125;0;0;0;0;0;0;0;0;0;0;0;0;0.03125;0;0.109375;0;0;0.015625;0.015625;0;0;0.046875;0.109375;0;0;0;0;0;0.328125;0.34375;0.234375;0.0625;0.0625;0;0.078125;0.015625;0;0.03125;0;0.078125;0;0.015625;0.15625;0;0.03125;0.015625;0.078125;0.125;0;0;0;0.015625
b;U;0;0.000593824;0;0.050475059;0.026128266;0.168646081;0.404394299;0.34976247;0.955463183;0.020190024;0.024346793;0;0;0.000593824;0;0;0;0;0.001781473;0.040380048;0.008313539;0;0.005344418;0.020783848;0;0.16567696;0.001187648;0.001781473;0.014845606;0.018408551;0;0;0.371140143;0.003562945;0.005938242;0;0.264251781;0;0;0.020190024;0.055819477;0.27672209;0.046912114;0.043942993;0.112232779;0.211401425;0.039786223;0.022565321;0.029097387;0.018408551;0.141330166;0.024346793;0.003562945;0;0;0;0.002375297;0.004750594;0.009501188;0.006532067;0;0;0.006532067
r;V;0;0;0;0.068311874;0.370171674;0.533261803;0.026108727;0.002145923;0.53397711;0.235336195;0.230686695;0;0;0;0;0;0;0.000357654;0.000357654;0.06509299;0.002503577;0;0.267525036;0.102646638;0;0.523247496;0.001430615;0.008583691;0.00286123;0.003934192;0;0;0.019313305;0.000357654;0;0;0;0;0;0;0.001788269;0.109084406;0.074391989;0.218168813;0.209227468;0.116595136;0.059370529;0.140915594;0.007868383;0.013948498;0.021101574;0.024678112;0.000715308;0;0.001072961;0.000715308;0;0.000357654;0.001788269;0;0;0;0
r;W;0.000265745;0;0.000531491;0.067499336;0.103374967;0.747010364;0.062715918;0.018602179;0.904065905;0.051554611;0.044379484;0.000265745;0;0;0;0;0.000531491;0.000531491;0.000265745;0.062450173;0.004251927;0;0.077597661;0.025777305;0;0.735849057;0.000531491;0.010629817;0.031357959;0.012224289;0;0;0.01913367;0.000265745;0;0;0.000265745;0;0;0.007972362;0.010098326;0.636726016;0.17565772;0.062450173;0.027903269;0.052883338;0.023385597;0.005846399;0.001860218;0.001328727;0.006643635;0.0029232;0.000531491;0;0;0;0;0.000265745;0.001594472;0;0;0;0
r;Y;0;0;0;0.073891626;0.194581281;0.209359606;0.150246305;0.371921182;0.583743842;0.192118227;0.224137931;0;0;0;0;0;0;0;0.002463054;0.051724138;0.019704433;0;0.073891626;0.120689655;0;0.189655172;0;0.019704433;0.02955665;0.032019704;0;0;0.088669951;0.044334975;0.004926108;0;0;0;0;0.162561576;0.160098522;0.275862069;0.147783251;0.10591133;0.051724138;0.071428571;0.007389163;0.014778325;0.022167488;0.012315271;0.096059113;0.02955665;0.017241379;0.024630542;0.017241379;0.004926108;0.004926108;0.022167488;0.051724138;0.009852217;0;0;0.012315271
b;Yb;0;0.004056795;0;0.050709939;0.144016227;0.204868154;0.229208925;0.367139959;0.578093306;0.202839757;0.219066937;0;0.004056795;0;0;0;0;0;0;0.038539554;0.012170385;0;0.073022312;0.070993915;0;0.184584178;0;0.020283976;0.040567951;0.06693712;0;0;0.121703854;0.050709939;0.002028398;0;0.002028398;0;0;0.178498986;0.133874239;0.251521298;0.099391481;0.070993915;0.054766734;0.073022312;0.016227181;0.030425963;0.030425963;0.00811359;0.070993915;0.052738337;0.018255578;0.004056795;0.020283976;0.00811359;0.020283976;0.024340771;0.085192698;0.010141988;0.030425963;0.004056795;0.016227181
r;Zn;0;0.008963283;0.001943844;0.522354212;0.272894168;0.190280778;0.003347732;0.000215983;0.763066955;0.116306695;0.12062635;0;0.004643629;0.004319654;0;0;0.001943844;0.027213823;0.004211663;0.463066955;0.027861771;0;0.162095032;0.110799136;0;0.189308855;0;0.000971922;0;0.000107991;0;0;0.003239741;0;0;0;0;0;0;0.000215983;0;0.226889849;0.169978402;0.13174946;0.193088553;0.150647948;0.049568035;0.024190065;0.012419006;0.020518359;0.018574514;0.001943844;0.000215983;0;0;0;0;0.000107991;0.000107991;0;0;0;0
r;Zr;0;0;0;0.106077348;0.187845304;0.408839779;0.122651934;0.174585635;0.690607735;0.145856354;0.163535912;0;0;0;0;0;0;0;0.001104972;0.095027624;0.009944751;0;0.050828729;0.137016575;0;0.369060773;0;0.039779006;0.037569061;0.028729282;0;0;0.056353591;0.013259669;0;0;0;0;0;0.056353591;0.104972376;0.156906077;0.17679558;0.148066298;0.150276243;0.116022099;0.017679558;0.012154696;0.022099448;0.012154696;0.032044199;0.006629834;0;0;0.005524862;0.00441989;0.005524862;0.036464088;0.080662983;0.005524862;0;0;0.011049724
